№	Название	Административный округ	Тип мунобразования	Код ОКАТО	Код ОКТМО
1	Академический	ЮЗАО	Муниципальный округ	45293554	45397000
2	Алексеевский	СВАО	Муниципальный округ	45280552	45349000
3	Алтуфьевский	СВАО	Муниципальный округ	45280554	45350000
4	Арбат	ЦАО	Муниципальный округ	45286552	45374000
5	Аэропорт	САО	Муниципальный округ	45277553	45333000
6	Бабушкинский	СВАО	Муниципальный округ	45280556	45351000
7	Басманный	ЦАО	Муниципальный округ	45286555	45375000
8	Беговой	САО	Муниципальный округ	45277556	45334000
9	Бескудниковский	САО	Муниципальный округ	45277559	45335000
10	Бибирево	СВАО	Муниципальный округ	45280558	45352000
11	Бирюлёво Восточное	ЮАО	Муниципальный округ	45296553	45911000
12	Бирюлёво Западное	ЮАО	Муниципальный округ	45296555	45912000
13	Богородское	ВАО	Муниципальный округ	45263552	45301000
14	Братеево	ЮАО	Муниципальный округ	45296557	45913000
15	Бутырский	СВАО	Муниципальный округ	45280561	45353000
16	Вешняки	ВАО	Муниципальный округ	45263555	45302000
17	Внуково	ЗАО	Муниципальный округ	45268552	45317000
18	Войковский	САО	Муниципальный округ	45277565	45336000
19	Восточное Дегунино	САО	Муниципальный округ	45277568	45337000
20	Восточное Измайлово	ВАО	Муниципальный округ	45263558	45303000
21	Восточный	ВАО	Муниципальный округ	45263561	45304000
22	Выхино-Жулебино	ЮВАО	Муниципальный округ	45290554	45385000
23	Гагаринский	ЮЗАО	Муниципальный округ	45293558	45398000
24	Головинский	САО	Муниципальный округ	45277571	45338000
25	Гольяново	ВАО	Муниципальный округ	45263564	45305000
26	Даниловский	ЮАО	Муниципальный округ	45296559	45914000
27	Дмитровский	САО	Муниципальный округ	45277574	45339000
28	Донской	ЮАО	Муниципальный округ	45296561	45915000
29	Дорогомилово	ЗАО	Муниципальный округ	45268554	45318000
30	Замоскворечье	ЦАО	Муниципальный округ	45286560	45376000
31	Западное Дегунино	САО	Муниципальный округ	45277577	45340000
32	Зюзино	ЮЗАО	Муниципальный округ	45293562	45901000
33	Зябликово	ЮАО	Муниципальный округ	45296565	45916000
34	Ивановское	ВАО	Муниципальный округ	45263567	45306000
35	Измайлово	ВАО	Муниципальный округ	45263570	45307000
36	Капотня	ЮВАО	Муниципальный округ	45290558	45386000
37	Коньково	ЮЗАО	Муниципальный округ	45293566	45902000
38	Коптево	САО	Муниципальный округ	45277580	45341000
39	Косино-Ухтомский	ВАО	Муниципальный округ	45263573	45308000
40	Котловка	ЮЗАО	Муниципальный округ	45293570	45903000
41	Красносельский	ЦАО	Муниципальный округ	45286565	45378000
42	Крылатское	ЗАО	Муниципальный округ	45268560	45319000
43	Крюково	ЗелАО	Муниципальный округ	45272580	45330000
44	Кузьминки	ЮВАО	Муниципальный округ	45290562	45387000
45	Кунцево	ЗАО	Муниципальный округ	45268562	45320000
46	Куркино	СЗАО	Муниципальный округ	45283555	45366000
47	Левобережный	САО	Муниципальный округ	45277583	45342000
48	Лефортово	ЮВАО	Муниципальный округ	45290564	45388000
49	Лианозово	СВАО	Муниципальный округ	45280563	45354000
50	Ломоносовский	ЮЗАО	Муниципальный округ	45293574	45904000
51	Лосиноостровский	СВАО	Муниципальный округ	45280565	45355000
52	Люблино	ЮВАО	Муниципальный округ	45290568	45389000
53	Марфино	СВАО	Муниципальный округ	45280567	45356000
54	Марьина Роща	СВАО	Муниципальный округ	45280569	45357000
55	Марьино	ЮВАО	Муниципальный округ	45290572	45390000
56	Матушкино	ЗелАО	Муниципальный округ	45272562	45331000
57	Метрогородок	ВАО	Муниципальный округ	45263581	45311000
58	Мещанский	ЦАО	Муниципальный округ	45286570	45379000
59	Митино	СЗАО	Муниципальный округ	45283559	45367000
60	Можайский	ЗАО	Муниципальный округ	45268569	45321000
61	Молжаниновский	САО	Муниципальный округ	45277584	45343000
62	Москворечье-Сабурово	ЮАО	Муниципальный округ	45296569	45917000
63	Нагатино-Садовники	ЮАО	Муниципальный округ	45296571	45918000
64	Нагатинский Затон	ЮАО	Муниципальный округ	45296573	45919000
65	Нагорный	ЮАО	Муниципальный округ	45296575	45920000
66	Некрасовка	ЮВАО	Муниципальный округ	45290574	45391000
67	Нижегородский	ЮВАО	Муниципальный округ	45290578	45392000
68	Ново-Переделкино	ЗАО	Муниципальный округ	45268577	45322000
69	Новогиреево	ВАО	Муниципальный округ	45263576	45309000
70	Новокосино	ВАО	Муниципальный округ	45263579	45310000
71	Обручевский	ЮЗАО	Муниципальный округ	45293578	45905000
72	Орехово-Борисово Северное	ЮАО	Муниципальный округ	45296577	45921000
73	Орехово-Борисово Южное	ЮАО	Муниципальный округ	45296579	45922000
